Wall time,Step,Value
1670913571.047349,39149,0.71875
1670913711.1163874,39449,0.75
1670913781.4652293,39599,0.8125
1670913828.3020372,39699,0.8125
1670913875.089212,39799,0.8125
1670913968.9180672,39999,0.625
1670914086.21569,40249,0.6875
1670914126.363252,40299,0.71875
1670914149.4534886,40349,0.6875
1670914172.3669379,40399,0.71875
1670914242.2656841,40549,0.8125
1670914427.9401975,40949,0.84375
1670914451.2874277,40999,0.75
1670914497.9797144,41099,0.78125
1670914544.7862177,41199,0.6875
1670914615.1590981,41349,0.8125
1670914638.3816376,41399,0.65625
1670914661.9745436,41449,0.875
1670914755.7007415,41649,0.71875
1670914779.0702462,41699,0.75
1670914825.8110197,41799,0.9375
1670914849.229269,41849,0.90625
1670914872.6434407,41899,0.8125
1670914919.453465,41999,0.8125
1670914942.7589839,42049,0.84375
1670915029.0870752,42199,0.78125
1670915075.7692976,42299,0.8125
1670915192.3477654,42549,0.6875
1670915215.657206,42599,0.8125
1670915285.631398,42749,0.75
1670915355.706945,42899,0.875
1670915425.7935376,43049,0.84375
1670915472.339744,43149,0.875
1670915542.2718651,43299,0.71875
1670915565.8277044,43349,0.84375
1670915659.6903796,43549,0.71875
1670915682.8959477,43599,0.78125
1670916004.3582764,44249,0.8125
1670916027.6261098,44299,0.84375
1670916050.7543454,44349,0.71875
1670916097.5240314,44449,0.78125
1670916144.3577793,44549,0.71875
1670916191.209789,44649,0.875
1670916261.7082798,44799,1.0
1670916308.4039083,44899,0.84375
1670916331.6145403,44949,0.6875
1670916402.2117116,45099,0.71875
1670916425.7267497,45149,0.84375
1670916472.4658806,45249,0.71875
1670916542.9331677,45399,0.9375
1670916566.4846234,45449,0.875
1670916613.1308308,45549,0.8125
1670916636.3288825,45599,0.875
1670916705.5738885,45749,0.71875
1670916815.6828616,45949,0.65625
1670916839.2313156,45999,0.78125
1670916885.6020222,46099,0.75
1670916931.9443278,46199,0.65625
1670917025.1707225,46399,0.84375
1670917048.6271608,46449,0.90625
1670917095.401716,46549,0.6875
1670917118.5479348,46599,0.8125
1670917141.6826258,46649,0.8125
1670917164.847067,46699,0.78125
1670917211.5226257,46799,0.8125
1670917304.7935996,46999,0.90625
1670917351.648297,47099,0.8125
1670917374.8746965,47149,0.78125
1670917444.621778,47299,0.75
1670917538.5109382,47499,0.75
1670917625.0559983,47649,0.90625
1670917694.2174773,47799,0.8125
1670917717.6131914,47849,0.84375
1670917811.1051602,48049,0.6875
1670917857.6332777,48149,0.75
1670917881.074806,48199,0.8125
1670917927.705687,48299,0.8125
1670917974.286571,48399,0.8125
1670917997.4503863,48449,0.90625
1670918067.1342773,48599,0.84375
1670918184.1566215,48849,0.75
1670918230.7882128,48949,0.65625
1670918254.047298,48999,0.9375
1670918300.5020924,49099,0.84375
1670918324.2022805,49149,0.75
1670918418.310487,49349,0.875
1670918528.0119052,49549,0.78125
1670918574.6618998,49649,0.8125
1670918621.2272894,49749,0.84375
1670918667.7371855,49849,0.6875
1670918714.2319071,49949,0.71875
1670918737.6703424,49999,0.75
1670918807.6851356,50149,0.84375
1670918830.9798963,50199,0.875
1670918854.4706438,50249,0.71875
1670918901.2964585,50349,0.71875
1670919018.5760503,50599,0.875
1670919065.2528093,50699,0.8125
1670919112.2718592,50799,0.625
1670919135.531816,50849,0.6875
1670919158.7138026,50899,0.75
1670919276.1461976,51149,0.84375
1670919386.9272103,51349,0.90625
1670919432.9967957,51449,0.8125
1670919456.3723667,51499,0.6875
1670919595.7572882,51799,0.84375
1670919619.043001,51849,0.6875
1670919642.4402814,51899,0.78125
1670919665.822519,51949,0.8125
1670919689.288269,51999,0.875
1670919783.0929844,52199,0.78125
1670919830.2414792,52299,0.84375
